seed,qubit,online_amp,full_amp,amp_err,final_utility
0,0,0.066304,0.065373,0.000932,3.197
0,1,0.125966,0.126107,0.000141,2.062
0,2,0.137168,0.137473,0.000305,3.098
0,3,0.075782,0.074881,0.000901,1.204
0,4,0.297553,0.291646,0.005907,1.477
1,0,0.066473,0.065373,0.001101,3.051
1,1,0.124788,0.126107,0.001319,1.456
1,2,0.137473,0.137473,0.0,3.283
1,3,0.075782,0.074881,0.000901,1.204
1,4,0.297553,0.291646,0.005907,1.477
2,0,0.065961,0.065373,0.000589,3.476
2,1,0.125966,0.126107,0.000141,2.062
2,2,0.137779,0.137473,0.000305,3.102
2,3,0.075782,0.074881,0.000901,1.204
2,4,0.297553,0.291646,0.005907,1.477
3,0,0.066637,0.065373,0.001264,2.91
3,1,0.125966,0.126107,0.000141,2.062
3,2,0.137473,0.137473,0.0,3.283
3,3,0.075782,0.074881,0.000901,1.204
3,4,0.297553,0.291646,0.005907,1.477
4,0,0.066722,0.065373,0.00135,2.836
4,1,0.126201,0.126107,9.4e-05,2.076
4,2,0.137168,0.137473,0.000305,3.098
4,3,0.075782,0.074881,0.000901,1.204
4,4,0.297553,0.291646,0.005907,1.477
5,0,0.066206,0.065373,0.000834,3.282
5,1,0.072989,0.126107,0.053117,1.969
5,2,0.137779,0.137473,0.000305,3.102
5,3,0.075782,0.074881,0.000901,1.204
5,4,0.297553,0.291646,0.005907,1.477
6,0,0.066767,0.065373,0.001395,2.797
6,1,0.126201,0.126107,9.4e-05,2.076
6,2,0.138642,0.137473,0.001168,2.59
6,3,0.075963,0.074881,0.001082,1.134
6,4,0.297553,0.291646,0.005907,1.477
7,0,0.064603,0.065373,0.000769,3.346
7,1,0.12573,0.126107,0.000377,1.946
7,2,0.13682,0.137473,0.000654,2.886
7,3,0.065264,0.074881,0.009617,0.949
7,4,0.297553,0.291646,0.005907,1.477
8,0,0.06711,0.065373,0.001737,2.501
8,1,0.072943,0.126107,0.053164,1.962
8,2,0.137226,0.137473,0.000247,3.133
8,3,0.075782,0.074881,0.000901,1.204
8,4,0.297553,0.291646,0.005907,1.477
9,0,0.066206,0.065373,0.000834,3.282
9,1,0.125024,0.126107,0.001083,1.58
9,2,0.137473,0.137473,0.0,3.283
9,3,0.075782,0.074881,0.000901,1.204
9,4,0.297553,0.291646,0.005907,1.477
10,0,0.066697,0.065373,0.001324,2.858
10,1,0.072948,0.126107,0.053159,1.963
10,2,0.138695,0.137473,0.001222,2.558
10,3,0.075039,0.074881,0.000157,1.492
10,4,0.297553,0.291646,0.005907,1.477
11,0,0.066009,0.065373,0.000636,3.439
11,1,0.073497,0.126107,0.05261,1.946
11,2,0.137779,0.137473,0.000305,3.102
11,3,0.075782,0.074881,0.000901,1.204
11,4,0.297553,0.291646,0.005907,1.477
12,0,0.066891,0.065373,0.001518,2.69
12,1,0.075344,0.126107,0.050763,1.379
12,2,0.137473,0.137473,0.0,3.283
12,3,0.075782,0.074881,0.000901,1.204
12,4,0.297553,0.291646,0.005907,1.477
13,0,0.064449,0.065373,0.000923,3.234
13,1,0.126201,0.126107,9.4e-05,2.076
13,2,0.137379,0.137473,9.4e-05,3.226
13,3,0.075782,0.074881,0.000901,1.204
13,4,0.297553,0.291646,0.005907,1.477
14,0,0.066206,0.065373,0.000834,3.282
14,1,0.12573,0.126107,0.000377,1.946
14,2,0.137473,0.137473,0.0,3.283
14,3,0.075769,0.074881,0.000887,1.209
14,4,0.289329,0.291646,0.002317,1.645
15,0,0.065225,0.065373,0.000147,3.798
15,1,0.126201,0.126107,9.4e-05,2.076
15,2,0.137494,0.137473,2.1e-05,3.271
15,3,0.075782,0.074881,0.000901,1.204
15,4,0.297553,0.291646,0.005907,1.477
16,0,0.066747,0.065373,0.001374,2.814
16,1,0.126903,0.126107,0.000796,1.571
16,2,0.137168,0.137473,0.000305,3.098
16,3,0.075782,0.074881,0.000901,1.204
16,4,0.297553,0.291646,0.005907,1.477
17,0,0.065961,0.065373,0.000589,3.476
17,1,0.126201,0.126107,9.4e-05,2.076
17,2,0.136862,0.137473,0.000611,2.912
17,3,0.075939,0.074881,0.001058,1.143
17,4,0.297553,0.291646,0.005907,1.477
18,0,0.065225,0.065373,0.000147,3.798
18,1,0.07287,0.126107,0.053236,1.951
18,2,0.137779,0.137473,0.000305,3.102
18,3,0.075782,0.074881,0.000901,1.204
18,4,0.297553,0.291646,0.005907,1.477
19,0,0.065709,0.065373,0.000337,3.67
19,1,0.125024,0.126107,0.001083,1.58
19,2,0.137597,0.137473,0.000123,3.21
19,3,0.075782,0.074881,0.000901,1.204
19,4,0.297553,0.291646,0.005907,1.477
20,0,0.066451,0.065373,0.001079,3.07
20,1,0.072586,0.126107,0.053521,1.907
20,2,0.137496,0.137473,2.3e-05,3.27
20,3,0.075333,0.074881,0.000452,1.378
20,4,0.297553,0.291646,0.005907,1.477
21,0,0.06678,0.065373,0.001407,2.786
21,1,0.125296,0.126107,0.000811,1.723
21,2,0.136557,0.137473,0.000916,2.727
21,3,0.075762,0.074881,0.00088,1.212
21,4,0.297553,0.291646,0.005907,1.477
22,0,0.066206,0.065373,0.000834,3.282
22,1,0.125966,0.126107,0.000141,2.062
22,2,0.137779,0.137473,0.000305,3.102
22,3,0.075843,0.074881,0.000961,1.181
22,4,0.297553,0.291646,0.005907,1.477
23,0,0.066602,0.065373,0.001229,2.94
23,1,0.075344,0.126107,0.050763,1.379
23,2,0.137494,0.137473,2.1e-05,3.271
23,3,0.075782,0.074881,0.000901,1.204
23,4,0.297553,0.291646,0.005907,1.477
24,0,0.066783,0.065373,0.001411,2.783
24,1,0.125966,0.126107,0.000141,2.062
24,2,0.136909,0.137473,0.000564,2.94
24,3,0.076165,0.074881,0.001284,1.056
24,4,0.297553,0.291646,0.005907,1.477
25,0,0.066451,0.065373,0.001079,3.07
25,1,0.075705,0.126107,0.050402,1.678
25,2,0.137473,0.137473,0.0,3.283
25,3,0.075508,0.074881,0.000627,1.31
25,4,0.297553,0.291646,0.005907,1.477
26,0,0.065716,0.065373,0.000343,3.665
26,1,0.125024,0.126107,0.001083,1.58
26,2,0.137473,0.137473,0.0,3.283
26,3,0.07587,0.074881,0.000988,1.17
26,4,0.297553,0.291646,0.005907,1.477
27,0,0.066127,0.065373,0.000754,3.348
27,1,0.073225,0.126107,0.052882,2.005
27,2,0.13839,0.137473,0.000916,2.74
27,3,0.063942,0.074881,0.01094,1.342
27,4,0.297553,0.291646,0.005907,1.477
28,0,0.066206,0.065373,0.000834,3.282
28,1,0.073668,0.126107,0.052439,1.75
28,2,0.137473,0.137473,0.0,3.283
28,3,0.076165,0.074881,0.001284,1.056
28,4,0.297553,0.291646,0.005907,1.477
29,0,0.066206,0.065373,0.000834,3.282
29,1,0.073497,0.126107,0.05261,1.946
29,2,0.137168,0.137473,0.000305,3.098
29,3,0.063653,0.074881,0.011228,1.243
29,4,0.297553,0.291646,0.005907,1.477
30,0,0.066451,0.065373,0.001079,3.07
30,1,0.072945,0.126107,0.053162,1.962
30,2,0.136965,0.137473,0.000509,2.974
30,3,0.075981,0.074881,0.001099,1.127
30,4,0.297553,0.291646,0.005907,1.477
31,0,0.066451,0.065373,0.001079,3.07
31,1,0.125024,0.126107,0.001083,1.58
31,2,0.137473,0.137473,0.0,3.283
31,3,0.074666,0.074881,0.000215,1.467
31,4,0.297553,0.291646,0.005907,1.477
32,0,0.064503,0.065373,0.000869,3.273
32,1,0.125495,0.126107,0.000612,1.827
32,2,0.138084,0.137473,0.000611,2.921
32,3,0.075718,0.074881,0.000836,1.229
32,4,0.297553,0.291646,0.005907,1.477
33,0,0.066206,0.065373,0.000834,3.282
33,1,0.126201,0.126107,9.4e-05,2.076
33,2,0.136557,0.137473,0.000916,2.727
33,3,0.075782,0.074881,0.000901,1.204
33,4,0.297553,0.291646,0.005907,1.477
34,0,0.066697,0.065373,0.001324,2.858
34,1,0.073225,0.126107,0.052882,2.005
34,2,0.137779,0.137473,0.000305,3.102
34,3,0.075159,0.074881,0.000277,1.445
34,4,0.297553,0.291646,0.005907,1.477
35,0,0.066206,0.065373,0.000834,3.282
35,1,0.075344,0.126107,0.050763,1.379
35,2,0.137202,0.137473,0.000272,3.118
35,3,0.075782,0.074881,0.000901,1.204
35,4,0.297553,0.291646,0.005907,1.477
36,0,0.066697,0.065373,0.001324,2.858
36,1,0.126436,0.126107,0.00033,1.907
36,2,0.136853,0.137473,0.000621,2.906
36,3,0.075782,0.074881,0.000901,1.204
36,4,0.297553,0.291646,0.005907,1.477
37,0,0.066722,0.065373,0.00135,2.836
37,1,0.073497,0.126107,0.05261,1.946
37,2,0.136557,0.137473,0.000916,2.727
37,3,0.075782,0.074881,0.000901,1.204
37,4,0.297553,0.291646,0.005907,1.477
38,0,0.065716,0.065373,0.000343,3.665
38,1,0.073696,0.126107,0.052411,1.718
38,2,0.07152,0.137473,0.065954,3.026
38,3,0.075309,0.074881,0.000428,1.387
38,4,0.297553,0.291646,0.005907,1.477
39,0,0.066602,0.065373,0.001229,2.94
39,1,0.075344,0.126107,0.050763,1.379
39,2,0.137176,0.137473,0.000297,3.103
39,3,0.075523,0.074881,0.000642,1.304
39,4,0.297553,0.291646,0.005907,1.477
40,0,0.065961,0.065373,0.000589,3.476
40,1,0.126201,0.126107,9.4e-05,2.076
40,2,0.136251,0.137473,0.001222,2.541
40,3,0.075782,0.074881,0.000901,1.204
40,4,0.297553,0.291646,0.005907,1.477
41,0,0.066206,0.065373,0.000834,3.282
41,1,0.125966,0.126107,0.000141,2.062
41,2,0.13698,0.137473,0.000493,2.984
41,3,0.076435,0.074881,0.001554,0.951
41,4,0.297553,0.291646,0.005907,1.477
42,0,0.066421,0.065373,0.001049,3.096
42,1,0.075732,0.126107,0.050375,1.7
42,2,0.137622,0.137473,0.000148,3.195
42,3,0.075782,0.074881,0.000901,1.204
42,4,0.297553,0.291646,0.005907,1.477
43,0,0.06669,0.065373,0.001318,2.863
43,1,0.125495,0.126107,0.000612,1.827
43,2,0.137473,0.137473,0.0,3.283
43,3,0.075782,0.074881,0.000901,1.204
43,4,0.297553,0.291646,0.005907,1.477
44,0,0.066451,0.065373,0.001079,3.07
44,1,0.07346,0.126107,0.052647,1.988
44,2,0.137473,0.137473,0.0,3.283
44,3,0.075782,0.074881,0.000901,1.204
44,4,0.297553,0.291646,0.005907,1.477
45,0,0.065961,0.065373,0.000589,3.476
45,1,0.076322,0.126107,0.049785,1.454
45,2,0.070856,0.137473,0.066618,2.889
45,3,0.075782,0.074881,0.000901,1.204
45,4,0.297553,0.291646,0.005907,1.477
46,0,0.112414,0.065373,0.047041,2.347
46,1,0.073497,0.126107,0.05261,1.946
46,2,0.136557,0.137473,0.000916,2.727
46,3,0.07645,0.074881,0.001569,0.945
46,4,0.297553,0.291646,0.005907,1.477
47,0,0.066413,0.065373,0.001041,3.103
47,1,0.073497,0.126107,0.05261,1.946
47,2,0.071486,0.137473,0.065987,3.041
47,3,0.076134,0.074881,0.001252,1.068
47,4,0.297553,0.291646,0.005907,1.477
48,0,0.066206,0.065373,0.000834,3.282
48,1,0.125495,0.126107,0.000612,1.827
48,2,0.137473,0.137473,0.0,3.283
48,3,0.076379,0.074881,0.001498,0.973
48,4,0.297553,0.291646,0.005907,1.477
49,0,0.066186,0.065373,0.000813,3.299
49,1,0.073497,0.126107,0.05261,1.946
49,2,0.137473,0.137473,0.0,3.283
49,3,0.075825,0.074881,0.000944,1.187
49,4,0.289959,0.291646,0.001687,1.668
